lat,long,city,state,country,suburb
25.333,55.517,Sharjah,Ash Shāriqah,United Arab Emirates,
25.255,55.364,Dubai,Dubayy,United Arab Emirates,
24.433,54.651,Abu Dhabi,Abū Z̧aby,United Arab Emirates,
24.262,55.609,Al ‘Ayn,Abū Z̧aby,United Arab Emirates,
34.21,62.228,Herāt,Herāt,Afghanistan,
34.566,69.212,Kabul,Kābul,Afghanistan,
31.5,65.85,Kandahār,Kandahār,Afghanistan,
36.717,3.25,Algiers,Alger,Algeria,
30.567,2.867,El Golea,Ghardaïa,Algeria,
28.05,9.633,I-n-Amenas,Illizi,Algeria,
36.72,4.05,Tizi Ouzou,Tizi Ouzou,Algeria,
35.1,-1.85,Ahfir,Oriental,Morocco,
34.85,5.72,Biskra,Biskra,Algeria,
33.8,2.89,Laghouat,Laghouat,Algeria,
36.795,5.874,Jijel,Jijel,Algeria,
36.933,6.95,Skikda,Skikda,Algeria,
36.822,7.809,Annaba,Annaba,Algeria,
36.767,3.1,Boufarik,Blida,Algeria,
36.712,5.07,Bejaïa,Bejaïa,Algeria,
36.467,7.467,Guelma,Guelma,Algeria,
36.276,6.62,Constantine,Constantine,Algeria,
35.867,7.117,Oum el Bouaghi,Oum el Bouaghi,Algeria,
36.283,7.967,Souk Ahras,Souk Ahras,Algeria,
36.213,1.332,Chlef,Chlef,Algeria,
36.3,2.233,Tipasa,Tipaza,Algeria,
36.283,2.733,Médéa,Médéa,Algeria,
36.067,4.767,Bordj Bou Arreridj,Bordj Bou Arréridj,Algeria,
36.178,5.324,Sétif,Sétif,Algeria,
35.817,-0.267,Oran,Oran,Algeria,
35.883,0.117,Mostaganem,Mostaganem,Algeria,
35.7,-0.65,Es Senia,Oran,Algeria,
35.667,4.5,M’Sila,M’sila,Algeria,
35.55,6.183,Batna,Batna,Algeria,
35.432,8.121,Tébessa,Tébessa,Algeria,
35.624,-0.621,El Kerma,Oran,Algeria,
35.208,0.147,Mascara,Mascara,Algeria,
35.341,1.463,Tiaret,Tiaret,Algeria,
35.167,2.317,Zmalet Emir Abdelkader,Tiaret,Algeria,
35.333,4.206,Bou Saâda,M’sila,Algeria,
35.3,-1.35,Aïn Temouchent,Aïn Temouchent,Algeria,
35.2,-0.617,Sidi Bel Abbès,Sidi Bel Abbès,Algeria,
34.82,-1.77,Oujda-Angad,Oriental,Morocco,
35.017,-1.45,Tlemcen,Tlemcen,Algeria,
34.683,3.25,Djelfa,Djelfa,Algeria,
34.867,0.15,Saïda,Saïda,Algeria,
34.15,0.067,El Kheiter,El Bayadh,Algeria,
33.536,-0.242,Mecheria,Naama,Algeria,
33.667,1.0,El Bayadh,El Bayadh,Algeria,
33.068,6.089,Touggourt,Ouargla,Algeria,
33.267,-0.3,Naama,Naama,Algeria,
33.511,6.777,El Oued,El Oued,Algeria,
32.767,-0.6,Aïn Sefra,Naama,Algeria,
32.384,3.794,Ghardaïa,Ghardaïa,Algeria,
31.646,-2.27,Béchar,Béchar,Algeria,
31.917,5.413,Ouargla,Ouargla,Algeria,
31.673,6.14,Hassi Messaoud,Ouargla,Algeria,
30.133,-2.167,Beni Abbès,Béchar,Algeria,
29.717,6.7,Burj Umar Idris,Illizi,Algeria,
29.237,0.276,Timimoun,Adrar,Algeria,
27.838,-0.186,Adrar,Adrar,Algeria,
26.724,8.623,Illizi,Illizi,Algeria,
27.7,-8.167,Tindouf,Tindouf,Algeria,
24.293,9.452,Djanet,Illizi,Algeria,
41.55,46.667,Zaqatala,Zaqatala,Azerbaijan,
41.217,47.167,Şəki,Şəki,Azerbaijan,
41.367,48.517,Xaçmaz,Xaçmaz,Azerbaijan,
40.717,46.417,Gəncə,Gəncə,Azerbaijan,
40.983,47.867,Göyçay,Göyçay,Azerbaijan,
40.617,47.15,Mingəçevir,Mingəçevir,Azerbaijan,
40.65,47.75,Ağdaş,Ağdaş,Azerbaijan,
40.533,48.933,Şamaxı,Şamaxı,Azerbaijan,
39.767,47.75,İmişli,İmişli,Azerbaijan,
39.967,49.4,Ələt,Bakı,Azerbaijan,
39.4,49.25,Salyan,Salyan,Azerbaijan,
38.75,48.817,Lənkəran,Lənkəran,Azerbaijan,
38.5,48.9,Astara,Astara,Azerbaijan,
41.415,19.721,Tirana,Tiranë,Albania,
40.783,43.833,Gyumri,Shirak,Armenia,
40.533,44.383,Vanadzor,Lorri,Armenia,
40.817,44.5,Stepanavan,Lorri,Armenia,
40.867,45.15,Sevan,Geghark’unik’,Armenia,
40.133,44.05,Iğdır,Iğdır,Turkey,
40.483,44.75,Yerevan,Yerevan,Armenia,
40.35,45.133,Hrazdan,Kotayk’,Armenia,
39.533,46.017,Goris,Syunik’,Armenia,
39.2,46.433,Kapan,Syunik’,Armenia,
40.567,45.0,Charentsavan,Kotayk’,Armenia,
-8.85,13.233,Luanda,Luanda,Angola,
-14.933,13.567,Lubango,Huíla,Angola,
-14.331,-170.714,Pago Pago,,American Samoa,
-30.267,-57.65,Bella Unión,Artigas,Uruguay,
-22.1,-65.6,Villazón,Potosí,Bolivia,
-27.767,-64.3,Santiago del Estero,Santiago del Estero,Argentina,
-27.45,-59.05,Resistencia,Chaco,Argentina,
-29.383,-66.817,La Rioja,La Rioja,Argentina,
-29.883,-61.95,Ceres,Santa Fe,Argentina,
-29.183,-59.7,Reconquista,Santa Fe,Argentina,
-31.317,-64.217,Córdoba,Córdoba,Argentina,
-31.783,-60.483,Paraná,Entre Ríos,Argentina,
-32.833,-68.783,Godoy Cruz,Mendoza,Argentina,
-34.133,-63.367,Laboulaye,Córdoba,Argentina,
-36.567,-64.266,Santa Rosa,La Pampa,Argentina,
-37.933,-57.583,Mar del Plata,Buenos Aires,Argentina,
-38.95,-68.133,Neuquén,Neuquén,Argentina,
-42.933,-71.15,Esquel,"Buenos Aires, Ciudad Autónoma de",Argentina,
-43.2,-65.266,Trelew,Chubut,Argentina,
-45.783,-67.5,Comodoro Rivadavia,Chubut,Argentina,
-51.617,-69.283,Río Gallegos,Santa Cruz,Argentina,
-24.85,-65.483,Salta,Salta,Argentina,
-34.583,-58.483,Buenos Aires,"Buenos Aires, Ciudad Autónoma de",Argentina,
-38.733,-62.167,Bahía Blanca,Buenos Aires,Argentina,
-23.153,-64.329,San Ramón de la Nueva Orán,Salta,Argentina,
-22.62,-63.794,Tartagal,Salta,Argentina,
-24.393,-65.098,San Salvador de Jujuy,Jujuy,Argentina,
-26.841,-65.105,San Miguel de Tucumán,Tucumán,Argentina,
-26.733,-60.483,Presidencia Roque Sáenz Peña,Chaco,Argentina,
-26.213,-58.228,Formosa,Formosa,Argentina,
-27.446,-58.762,Corrientes,Corrientes,Argentina,
-27.386,-55.971,Posadas,Misiones,Argentina,
-28.596,-65.752,Catamarca,Catamarca,Argentina,
-29.9,-63.683,Villa de María,Córdoba,Argentina,Norte
-29.689,-57.152,Uruguaiana,Rio Grande do Sul,Brazil,
-31.571,-68.418,San Juan,San Juan,Argentina,
-30.367,-66.283,Chamical,La Rioja,Argentina,
-31.945,-65.146,Mina Clavero,Córdoba,Argentina,
-31.667,-63.883,Río Segundo,Córdoba,Argentina,
-31.297,-57.997,Concordia,Entre Ríos,Argentina,
-33.083,-68.417,San Martín,Mendoza,Argentina,
-33.273,-66.356,San Luis,San Luis,Argentina,
-33.73,-65.387,Villa Mercedes,San Luis,Argentina,
-33.085,-64.261,Río Cuarto,Córdoba,Argentina,
-32.684,-62.158,Marcos Juárez,Córdoba,Argentina,
-32.904,-60.785,Rosario,Santa Fe,Argentina,
-33.01,-58.613,Gualeguaychú,Entre Ríos,Argentina,
-35.494,-69.574,Malargüe,Mendoza,Argentina,
-34.588,-68.403,San Rafael,Mendoza,Argentina,
-35.696,-63.758,General Pico,La Pampa,Argentina,
-34.546,-60.931,Junín,Buenos Aires,Argentina,
-34.822,-58.536,Lanús,Buenos Aires,Argentina,
-34.559,-58.416,San Justo,Buenos Aires,Argentina,
-34.972,-57.895,La Plata,Buenos Aires,Argentina,
-36.833,-59.883,Azul,Buenos Aires,Argentina,
-37.237,-59.228,Tandil,Buenos Aires,Argentina,
-36.35,-57.733,Dolores,Buenos Aires,Argentina,
-38.387,-60.33,Tres Arroyos,Buenos Aires,Argentina,
-41.151,-71.158,San Carlos de Bariloche,Río Negro,Argentina,
-41.25,-68.733,,,,
-40.783,-65.1,San Antonio Oeste,Río Negro,Argentina,
-40.869,-63.0,Viedma,Río Negro,Argentina,
-41.943,-71.532,El Maitén,"Buenos Aires, Ciudad Autónoma de",Argentina,
-46.517,-71.017,Perito Moreno,Santa Cruz,Argentina,
-50.267,-72.05,El Calafate,Santa Cruz,Argentina,
-49.307,-67.803,San Julián,Santa Cruz,Argentina,
-53.778,-67.749,Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Argentina,
-54.843,-68.296,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Argentina,
-16.288,149.965,,,,
-31.542,159.079,Lord Howe Island,New South Wales,Australia,
-54.499,158.937,,,,
-15.51,128.15,Wyndham,Western Australia,Australia,
-13.754,126.148,,,,
-14.788,126.496,,,,
-15.487,128.125,Wyndham,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-15.908,128.129,,,,
-16.418,126.102,,,,
-14.296,126.645,Kalumburu,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-14.09,126.387,,,,
-16.009,127.981,,,,
-15.957,127.063,,,,
-15.38,126.311,,,,
-15.702,126.379,,,,
-15.639,128.08,Wyndham,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-15.723,127.83,,,,
-13.96,127.196,,,,
-15.597,128.278,Wyndham,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-16.504,128.917,,,,
-15.486,128.534,Kununurra,Western Australia,Australia,
-16.42,126.441,Ngallagunda,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-18.229,127.664,Halls Creek,Western Australia,Australia,
-18.387,126.989,,,,
-18.016,126.303,,,,
-18.031,128.894,,,,
-18.596,127.642,Billiluna,Western Australia,Australia,Shire of Halls Creek
-19.162,128.163,,,,
-17.296,126.915,,,,
-17.016,128.218,Warmun,Western Australia,Australia,Shire of Halls Creek
-17.392,126.231,,,,
-18.337,126.124,,,,
-16.112,128.741,Lake Argyle,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-17.263,127.462,,,,
-18.297,128.442,,,,
-18.195,127.815,,,,
-17.784,127.685,,,,
-17.613,126.744,,,,
-15.781,128.71,Kununurra,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-16.04,128.415,,,,
-19.235,127.769,,,,
-16.638,128.452,Argyle Village,Western Australia,Australia,Shire Of Wyndham-East Kimberley
-15.982,128.999,,,,
-16.443,127.784,,,,
-17.277,122.571,,,,
-17.948,122.235,Broome,Western Australia,Australia,
-17.928,124.811,,,,
-18.355,125.303,,,,
-17.39,124.358,,,,
-18.291,125.587,,,,
-17.052,125.705,,,,
-18.122,124.269,,,,
-17.331,124.817,,,,
-18.5,124.399,,,,
-17.946,123.738,,,,
-17.615,123.648,,,,
-18.139,125.776,,,,
-19.254,121.486,,,,
-18.684,121.78,Bidyadanga,Western Australia,Australia,Shire Of Broome
-17.371,123.661,Derby,Western Australia,Australia,Shire Of Derby-West Kimberley
-17.747,124.528,,,,
-17.99,124.192,,,,
-17.692,122.713,,,,
-18.916,125.526,,,,
-16.737,125.909,Kupungarri,Western Australia,Australia,Shire Of Derby-West Kimberley
-16.451,123.009,Ardyaloon,Western Australia,Australia,Shire Of Broome
-19.086,121.676,,,,
-16.715,125.459,,,,
-18.518,121.807,,,,
-18.508,123.456,,,,
-16.687,123.838,,,,
-17.312,123.636,Derby,Western Australia,Australia,Karmulinunga
-17.574,123.822,,,,
-17.344,123.678,Derby,Western Australia,Australia,Shire Of Derby-West Kimberley
-17.728,123.655,,,,
-18.838,126.525,,,,
-17.798,124.077,,,,
-18.181,125.562,Fitzroy Crossing,Western Australia,Australia,Shire Of Derby-West Kimberley
-17.055,125.711,,,,
-17.95,124.265,,,,
-18.113,125.343,,,,
-20.926,120.208,Marble Bar,Western Australia,Australia,Shire of East Pilbara
-22.183,119.935,Nullagine,Western Australia,Australia,Shire of East Pilbara
-20.639,119.243,Marble Bar,Western Australia,Australia,Shire of East Pilbara
-20.176,119.191,,,,
-21.722,119.399,Nullagine,Western Australia,Australia,Shire of East Pilbara
-20.787,118.597,Port Hedland,Western Australia,Australia,
-19.742,120.844,,,,
-20.633,120.054,Marble Bar,Western Australia,Australia,Shire of East Pilbara
-22.291,120.176,Nullagine,Western Australia,Australia,Shire of East Pilbara
-20.108,119.581,,,,
-20.372,118.632,Port Hedland,Western Australia,Australia,Town Of Port Hedland
-21.056,117.444,Roebourne,Western Australia,Australia,
-20.468,119.056,,,,
-20.748,118.817,Marble Bar,Western Australia,Australia,Town Of Port Hedland
-20.947,117.373,,,,
-20.85,120.695,Marble Bar,Western Australia,Australia,Shire of East Pilbara
-20.674,120.204,Marble Bar,Western Australia,Australia,Shire of East Pilbara
-19.779,120.642,,,,
-20.71,116.774,Karratha,Western Australia,Australia,
-20.896,117.645,,,,
-20.759,117.158,Roebourne,Western Australia,Australia,City Of Karratha
-21.293,120.466,Marble Bar,Western Australia,Australia,Shire of East Pilbara
-21.176,119.75,Marble Bar,Western Australia,Australia,Shire of East Pilbara
-21.805,117.806,,,,
-22.912,116.29,,,,
-22.241,114.097,Exmouth,Western Australia,Australia,
-21.191,115.98,,,,
-22.633,119.408,Newman,Western Australia,Australia,Shire of East Pilbara
-21.996,115.046,Onslow,Western Australia,Australia,
-21.787,117.865,,,,
-21.669,115.109,Onslow,Western Australia,Australia,Shire Of Ashburton
-21.975,116.065,Pannawonica,Western Australia,Australia,
-22.242,118.336,,,,
-21.677,116.393,,,,
-22.456,116.051,,,,
-22.937,115.982,,,,
-21.159,116.12,,,,
-21.93,114.126,Exmouth,Western Australia,Australia,Shire Of Exmouth
-20.728,116.748,Karratha,Western Australia,Australia,City Of Karratha
-22.782,115.371,,,,
-21.639,116.331,Pannawonica,Western Australia,Australia,Shire Of Ashburton
-21.357,115.821,,,,
-21.344,115.936,,,,
-21.884,118.222,,,,
-21.767,114.821,,,,
-21.054,116.258,,,,
-22.885,117.446,Tom Price,Western Australia,Australia,
-21.248,116.073,,,,
-20.875,115.406,,,,
-22.937,116.973,,,,
-25.042,115.309,Gascoyne Junction,Western Australia,Australia,Shire Of Upper Gascoyne
-24.652,113.694,Carnarvon,Western Australia,Australia,
-25.048,114.029,,,,
-25.611,115.462,,,,
-24.888,113.67,Carnarvon,Western Australia,Australia,Shire Of Carnarvon
-24.806,114.432,,,,
-25.36,114.229,,,,
-25.054,115.21,Gascoyne Junction,Western Australia,Australia,Shire Of Upper Gascoyne
-23.822,113.526,,,,
-26.428,114.192,,,,
-25.044,115.133,,,,
-25.366,114.359,,,,
-23.382,114.438,,,,
-25.926,113.532,Denham,Western Australia,Australia,Shire Of Shark Bay
-26.697,113.716,,,,
-25.302,115.116,,,,
-27.746,115.829,,,,
-27.428,115.515,Murchison,Western Australia,Australia,Shire Of Murchison
-25.944,114.322,,,,
-25.491,114.398,,,,
-26.59,115.927,Murchison,Western Australia,Australia,Shire Of Murchison
-24.306,114.5,,,,
-23.031,115.041,,,,
-23.485,113.781,,,,
-24.397,113.406,,,,
-26.12,113.398,Useless Loop,Western Australia,Australia,Shire Of Shark Bay
-25.029,115.863,,,,
-26.894,115.956,Murchison,Western Australia,Australia,Shire Of Murchison
-26.176,113.215,,,,
-25.892,113.577,Denham,Western Australia,Australia,Shire Of Shark Bay
-25.038,115.995,,,,
-26.967,117.917,,,,
-26.042,116.953,,,,
-26.984,116.536,,,,
-28.784,117.362,,,,
-27.253,117.652,,,,
-27.423,117.899,Cue,Western Australia,Australia,Shire Of Cue
-24.002,119.572,,,,
-25.686,119.226,,,,
-28.273,117.154,Yalgoo,Western Australia,Australia,Shire Of Yalgoo
-28.249,116.34,Yalgoo,Western Australia,Australia,Shire Of Yalgoo
-26.114,117.505,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-27.745,116.744,Yalgoo,Western Australia,Australia,Shire Of Yalgoo
-28.556,117.78,Mount Magnet,Western Australia,Australia,
-26.614,118.537,Meekatharra,Western Australia,Australia,
-27.422,116.825,Yalgoo,Western Australia,Australia,Shire Of Yalgoo
-26.374,117.334,,,,
-24.309,116.911,,,,
-27.879,117.551,,,,
-24.4,116.308,,,,
-24.23,118.241,,,,
-27.364,116.426,,,,
-28.652,117.608,,,,
-29.425,117.291,,,,
-29.189,117.922,Sandstone,Western Australia,Australia,Shire Of Sandstone
-26.56,118.54,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-25.126,119.151,,,,
-28.893,117.133,,,,
-23.624,118.656,,,,
-27.088,116.161,Murchison,Western Australia,Australia,Shire Of Murchison
-24.651,116.165,,,,
-28.232,117.656,,,,
-27.981,116.035,,,,
-27.861,118.418,,,,
-27.131,118.78,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-25.693,118.08,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-26.282,118.693,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-25.48,119.649,,,,
-23.996,117.522,,,,
-23.386,117.032,,,,
-25.281,116.208,,,,
-27.804,116.886,Yalgoo,Western Australia,Australia,Shire Of Yalgoo
-26.075,116.694,Murchison,Western Australia,Australia,Shire Of Murchison
-25.096,117.592,,,,
-26.795,118.984,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-29.271,117.684,,,,
-26.594,118.488,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-23.553,119.148,,,,
-27.549,118.217,Cue,Western Australia,Australia,Shire Of Cue
-26.263,119.764,Meekatharra,Western Australia,Australia,Shire of Meekatharra
-25.464,117.136,,,,
-23.764,116.12,,,,
-24.948,118.715,,,,
-23.417,119.799,Newman,Western Australia,Australia,
-23.604,117.689,,,,
-24.411,118.941,,,,
-23.978,120.011,,,,
-23.172,117.749,Paraburdoo,Western Australia,Australia,Shire Of Ashburton
-27.316,117.97,Sandstone,Western Australia,Australia,Shire Of Cue
-27.05,117.65,,,,
-26.078,116.153,Murchison,Western Australia,Australia,Shire Of Murchison
-28.282,118.311,,,,
-24.185,119.718,,,,
-25.694,116.538,Murchison,Western Australia,Australia,Shire Of Murchison
-28.116,117.842,Mount Magnet,Western Australia,Australia,Shire Of Mount Magnet
-30.597,116.771,Ballidu,Western Australia,Australia,Shire Of Wongan-Ballidu
-28.006,114.221,Kalbarri,Western Australia,Australia,
-30.729,116.02,,,,
-28.896,115.811,Morawa,Western Australia,Australia,
-30.583,116.135,Moora,Western Australia,Australia,Shire Of Moora
-30.629,116.386,,,,
-29.33,116.143,,,,
-30.219,116.778,Dalwallinu,Western Australia,Australia,Shire Of Dalwallinu
-30.445,117.041,,,,
-29.987,116.571,Buntine,Western Australia,Australia,Shire Of Dalwallinu
-30.291,116.331,Miling,Western Australia,Australia,Shire Of Moora
-29.689,115.887,Three Springs,Western Australia,Australia,
-28.501,114.79,Geraldton,Western Australia,Australia,
-29.882,116.023,Coorow,Western Australia,Australia,Shire Of Coorow
-29.253,114.931,Port Denison,Western Australia,Australia,
-30.913,116.809,Wongan Hills,Western Australia,Australia,Shire Of Wongan-Ballidu
-29.471,115.853,Perenjori,Western Australia,Australia,Shire Of Three Springs
-28.777,114.605,Geraldton,Western Australia,Australia,City Of Greater Geraldton
-28.795,114.698,Geraldton,Western Australia,Australia,City Of Greater Geraldton
-28.17,114.761,,,,
-29.549,115.069,,,,
-29.036,115.554,,,,
-30.284,116.633,Dalwallinu,Western Australia,Australia,Shire Of Dalwallinu
-30.672,116.308,,,,
-28.429,114.654,,,,
-30.701,117.061,Cadoux,Western Australia,Australia,Shire Of Wongan-Ballidu
-29.941,116.2,,,,
-29.759,116.444,Latham,Western Australia,Australia,Shire Of Perenjori
-28.21,114.305,,,,
-29.601,115.939,Carnamah,Western Australia,Australia,Shire Of Carnamah
-29.242,115.779,,,,
-29.071,115.626,,,,
-30.492,116.363,Miling,Western Australia,Australia,Shire Of Moora
-30.423,116.458,Miling,Western Australia,Australia,Shire Of Moora
-29.191,115.441,Mingenew,Western Australia,Australia,Shire of Mingenew
-28.537,115.514,Mullewa,Western Australia,Australia,City Of Greater Geraldton
-28.152,114.569,,,,
-28.346,114.637,Northampton,Western Australia,Australia,Shire of Northampton
-28.154,114.669,,,,
-29.369,116.406,,,,
-29.442,116.288,Perenjori,Western Australia,Australia,Shire Of Perenjori
-28.477,115.79,,,,
-27.832,114.736,Murchison,Western Australia,Australia,Shire of Northampton
-28.789,114.942,,,,
-29.534,115.763,Three Springs,Western Australia,Australia,Shire Of Three Springs
-28.554,115.246,,,,
-30.299,116.059,Watheroo,Western Australia,Australia,Shire Of Moora
-30.892,116.719,Wongan Hills,Western Australia,Australia,Shire Of Wongan-Ballidu
-30.107,116.633,Wubin,Western Australia,Australia,Shire Of Dalwallinu
-28.381,114.453,,,,
-29.287,115.633,,,,
-30.071,116.209,,,,
-28.325,114.959,,,,
-28.898,115.863,,,,
-28.547,114.624,,,,
-29.186,115.741,,,,
-30.658,116.934,,,,
-28.694,115.041,,,,
-30.622,116.379,,,,
-29.818,115.272,Eneabba,Western Australia,Australia,Shire Of Carnamah
-30.382,116.722,Pithara,Western Australia,Australia,Shire Of Dalwallinu
-29.467,116.132,Perenjori,Western Australia,Australia,Shire Of Perenjori
-29.485,116.07,Perenjori,Western Australia,Australia,Shire Of Perenjori
-28.568,115.281,,,,
-28.686,115.281,,,,
-30.099,116.234,,,,
-28.894,115.454,,,,
-27.712,114.165,Kalbarri,Western Australia,Australia,Shire of Northampton
-30.709,116.774,Kondut,Western Australia,Australia,Shire Of Wongan-Ballidu
-29.515,116.801,,,,
-28.811,115.968,,,,
-29.359,115.45,,,,
-28.419,114.819,,,,
