lat,long,city,country,state,suburb,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source
25.333,55.517,Dubai,United Arab Emirates,Dubayy,,Dubai,AE,ARE,admin,2502715.0,1784736618,worldcities
25.255,55.364,Dubai,United Arab Emirates,Dubayy,,Dubai,AE,ARE,admin,2502715.0,1784736618,worldcities
24.433,54.651,Abu Dhabi,United Arab Emirates,Abū Z̧aby,,Abu Dhabi,AE,ARE,primary,1000000.0,1784176710,worldcities
24.262,55.609,Al ‘Ayn,United Arab Emirates,Abū Z̧aby,,Al `Ayn,AE,ARE,,766936.0,1784674685,worldcities
34.21,62.228,Herāt,Afghanistan,Herāt,,Herat,AF,AFG,admin,436300.0,1004237782,worldcities
34.566,69.212,Kabul,Afghanistan,Kābul,,Kabul,AF,AFG,primary,3678034.0,1004993580,worldcities
31.5,65.85,Kandahār,Afghanistan,Kandahār,,Kandahar,AF,AFG,admin,491500.0,1004003059,worldcities
36.7167,3.25,Algiers,Algeria,Alger,,Algiers,DZ,DZA,primary,3415811.0,1012973369,worldcities
30.5667,2.8667,El Golea,Algeria,Ghardaïa,,El Golea,DZ,DZA,,32049.0,1012834851,worldcities_small
28.05,9.6331,I-n-Amenas,Algeria,Illizi,,I-n-Amenas,DZ,DZA,,9225.0,1012221429,worldcities_small
36.72,4.05,Tizi Ouzou,Algeria,Tizi Ouzou,,Tizi Ouzou,DZ,DZA,admin,135088.0,1012126997,worldcities
35.1,-1.85,Ahfir,Morocco,Oriental,,Ahfir,MA,MAR,,19630.0,1504027251,worldcities_small
34.85,5.72,Biskra,Algeria,Biskra,,Biskra,DZ,DZA,admin,204661.0,1012947247,worldcities
33.7997,2.89,Laghouat,Algeria,Laghouat,,Laghouat,DZ,DZA,admin,134372.0,1012233848,worldcities
36.795,5.874,Jijel,Algeria,Jijel,,Jijel,DZ,DZA,admin,131513.0,1012782547,worldcities
36.933,6.95,Skikda,Algeria,Skikda,,Skikda,DZ,DZA,admin,163318.0,1012619903,worldcities
36.822,7.809,Annaba,Algeria,Annaba,,Annaba,DZ,DZA,admin,257359.0,1012600001,worldcities
36.767,3.1,Algiers,Algeria,Alger,,Algiers,DZ,DZA,primary,3415811.0,1012973369,worldcities
36.712,5.07,Bejaïa,Algeria,Bejaïa,,Bejaia,DZ,DZA,admin,176139.0,1012140298,worldcities
36.467,7.467,Guelma,Algeria,Guelma,,Guelma,DZ,DZA,admin,120004.0,1012266321,worldcities
36.276,6.62,Constantine,Algeria,Constantine,,Constantine,DZ,DZA,admin,448374.0,1012275076,worldcities
35.867,7.117,Oum el Bouaghi,Algeria,Oum el Bouaghi,,Oum el Bouaghi,DZ,DZA,admin,100821.0,1012958880,worldcities
36.283,7.967,Souk Ahras,Algeria,Souk Ahras,,Souk Ahras,DZ,DZA,admin,155259.0,1012419619,worldcities
36.213,1.332,Chlef,Algeria,Chlef,,Chlef,DZ,DZA,admin,155134.0,1012772239,worldcities
36.3,2.233,Miliana,Algeria,Aïn Defla,Ras El Akba,,DZ,,,,,nominatim
36.283,2.733,Médéa,Algeria,Médéa,,Medea,DZ,DZA,admin,138355.0,1012758282,worldcities
36.067,4.767,Bordj Bou Arreridj,Algeria,Bordj Bou Arréridj,,Bordj Bou Arreridj,DZ,DZA,admin,168346.0,1012016677,worldcities
