city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,PRCP,SNWD,TMAX,TMIN
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-01,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.86,6.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-02,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.4,6.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-03,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.22,8.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-04,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.34,8.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-05,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.26,8.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-06,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.44,8.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-07,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.8,8.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-08,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.4,26.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-09,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.52,32.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-10,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.12,40.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-11,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.06,46.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-12,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.52,38.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-13,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.64,34.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-14,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.18,32.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-15,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.6,32.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-16,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.66,42.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-17,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.3,44.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-18,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.72,48.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-19,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.8,68.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-20,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.46,74.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-21,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.06,76.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-22,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.16,72.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-23,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.46,68.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-24,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.72,60.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-25,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.68,40.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-26,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.12,26.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-27,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.58,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-28,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.04,32.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-29,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.68,30.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-30,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.9,34.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-01-31,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.24,34.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-01,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,4.4,36.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-02,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.94,40.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-03,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.34,46.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-04,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.18,57.5,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-05,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.98,67.5,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-06,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.28,54.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-07,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.16,46.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-08,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,6.7,48.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-02-09,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,10.84,32.0,,
