city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,PRCP
Des Moines,United States,Iowa,,41.872,-93.813,2020-01-08,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,9.7
Des Moines,United States,Iowa,,41.872,-93.813,2020-03-13,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,8.1
Des Moines,United States,Iowa,,41.872,-93.813,2020-03-30,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,18.15
Des Moines,United States,Iowa,,41.872,-93.813,2020-03-31,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,16.5
Des Moines,United States,Iowa,,41.872,-93.813,2020-04-06,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,3.3
Des Moines,United States,Iowa,,41.872,-93.813,2020-04-19,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,3.0
Des Moines,United States,Iowa,,41.872,-93.813,2020-04-21,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,23.1
Des Moines,United States,Iowa,,41.872,-93.813,2020-04-25,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,5.8
Des Moines,United States,Iowa,,41.872,-93.813,2020-04-28,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,24.1
Des Moines,United States,Iowa,,41.872,-93.813,2020-05-01,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,48.3
Des Moines,United States,Iowa,,41.872,-93.813,2020-05-24,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,13.0
Des Moines,United States,Iowa,,41.872,-93.813,2020-05-27,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,18.8
Des Moines,United States,Iowa,,41.872,-93.813,2020-05-31,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,4.8
Des Moines,United States,Iowa,,41.872,-93.813,2020-06-15,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,17.0
Des Moines,United States,Iowa,,41.872,-93.813,2020-06-22,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,2.0
Des Moines,United States,Iowa,,41.872,-93.813,2020-06-26,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,34.5
Des Moines,United States,Iowa,,41.872,-93.813,2020-06-30,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,7.4
Des Moines,United States,Iowa,,41.872,-93.813,2020-07-06,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,8.6
Des Moines,United States,Iowa,,41.872,-93.813,2020-07-07,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,14.0
Des Moines,United States,Iowa,,41.872,-93.813,2020-07-12,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,23.1
Des Moines,United States,Iowa,,41.872,-93.813,2020-07-18,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,38.6
Des Moines,United States,Iowa,,41.872,-93.813,2020-07-20,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,47.2
Des Moines,United States,Iowa,,41.872,-93.813,2020-08-02,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,9.15
Des Moines,United States,Iowa,,41.872,-93.813,2020-08-12,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,76.5
Des Moines,United States,Iowa,,41.872,-93.813,2020-08-24,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,3.8
Des Moines,United States,Iowa,,41.872,-93.813,2020-09-07,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,0.0
Des Moines,United States,Iowa,,41.872,-93.813,2020-09-08,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,16.0
Des Moines,United States,Iowa,,41.872,-93.813,2020-09-16,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,47.8
Des Moines,United States,Iowa,,41.872,-93.813,2020-09-23,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,36.6
Des Moines,United States,Iowa,,41.872,-93.813,2020-11-23,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,23.1
Des Moines,United States,Iowa,,41.872,-93.813,2020-11-28,MADRID,Des Moines,US,USA,admin,473957.0,1840007069,worldcities_small,11.4
